Store,Dept,IsHoliday,Size,Type,Weekly_Sales,Date
34,22,False,62220,B,1783.7261600914785,2014-06-01
20,98,False,103139,C,28325.503685570926,2014-03-18
29,28,False,131261,B,29027.852572933796,2017-10-31
12,87,False,59804,C,22139.666884332546,2022-10-17
34,22,False,40718,B,6996.180884867878,2010-10-16
31,5,True,109185,B,41335.0987194836,2023-08-21
10,64,True,52517,B,43244.90341266188,2017-04-05
8,93,False,15168,B,12314.641762093768,2012-10-13
7,64,False,153459,C,47525.8166270908,2015-04-17
4,85,True,141187,A,43529.52189363193,2015-05-02
45,67,False,16052,C,29107.571213375486,2018-09-17
14,49,True,109247,B,42306.80247019344,2012-08-30
10,65,True,52807,C,7919.172215558864,2021-08-11
30,7,False,21883,B,41996.97084215314,2021-02-21
36,49,True,170348,A,47015.145751443015,2015-08-12
17,18,True,102464,C,39393.27677432591,2010-05-08
36,90,False,91108,A,28678.448876187515,2014-03-20
21,96,True,198503,C,18037.109424022296,2023-12-20
18,53,True,175655,C,43698.073095418185,2010-07-25
2,75,True,73226,B,4052.73670552938,2020-07-13
20,67,True,65987,B,47963.96651434677,2017-08-23
39,51,True,25338,A,19568.238880469948,2022-02-01
19,3,True,56941,B,18842.351413649973,2020-01-24
2,2,False,186368,C,32018.169677093047,2014-04-21
31,30,True,12308,C,22268.189862703064,2012-06-24
11,79,False,111971,A,11538.993377707302,2023-11-17
1,11,True,157825,A,45532.74579727251,2011-12-22
6,67,True,169692,B,18576.147274936127,2020-06-21
6,45,False,157275,C,3497.3873193656705,2023-12-08
36,29,False,53261,A,49295.166338442235,2015-12-30
37,64,False,39877,C,22313.868312296425,2017-04-09
41,22,False,32049,C,10423.558839783695,2022-11-12
37,74,False,141509,A,30176.761733899537,2013-02-20
40,71,False,194454,C,29813.80545988466,2013-02-16
42,86,True,141763,C,7536.9566167638,2018-05-09
14,10,True,39833,B,6269.925821226556,2013-09-18
45,36,False,113701,C,46860.7361478851,2013-01-07
25,68,True,161710,C,9316.876624480872,2014-04-29
33,33,True,67395,C,33783.85143929797,2021-02-08
37,5,False,67735,C,27118.164073478845,2022-12-03
27,61,True,80612,B,25309.08161176292,2023-12-02
16,40,True,20862,C,24549.444799981786,2014-04-07
25,56,True,10917,A,41346.499544352446,2023-03-25
25,84,False,145594,C,32163.10154415649,2015-09-02
22,50,True,142190,B,29587.446724439367,2012-05-14
40,93,False,104310,C,19708.22636216256,2013-02-08
12,59,False,92283,A,48363.17097567148,2018-09-17
45,91,True,136230,B,5122.027160564185,2016-01-02
27,37,False,140550,A,42208.51495010143,2018-06-13
30,30,False,146110,A,2000.0647197299495,2013-12-14
32,25,True,57627,B,36503.74622602413,2012-03-07
3,94,True,190868,C,23818.34958801563,2020-04-26
39,27,False,102049,A,10397.4624536802,2018-09-21
9,29,True,42247,A,17710.774348981828,2016-11-01
29,2,True,158329,C,17325.83419920804,2012-12-03
35,54,True,161419,B,29427.916769124353,2019-06-04
43,99,False,52082,A,20449.85434847114,2016-02-27
2,87,True,60121,A,25807.092162734836,2022-11-06
32,6,True,30311,C,12737.911264948463,2016-02-11
8,74,True,113624,B,37950.943009525494,2012-05-05
44,31,False,85733,B,30165.0224373043,2019-04-03
45,87,True,37437,B,19317.68116305858,2021-11-19
19,77,True,134852,C,46988.89861249452,2022-02-02
32,31,False,160510,A,40179.35157875551,2021-01-21
2,83,True,69064,C,48088.85087810972,2020-07-16
10,45,True,78913,B,27594.644545665393,2014-04-08
45,70,False,96490,C,16155.082017317201,2018-07-26
45,83,False,48398,C,40612.25198320986,2022-08-16
29,68,False,77299,B,1064.4115552342635,2020-11-02
11,90,False,112340,B,25565.429609437047,2016-09-26
24,84,True,78117,A,13333.056711657944,2012-04-03
1,63,False,104983,C,22663.499915135744,2014-01-27
17,7,False,185153,B,39255.85153438028,2021-12-21
10,44,False,118898,C,3333.8421088680802,2011-01-04
35,74,False,186141,B,43141.76232190823,2010-04-25
28,53,False,109070,C,13764.998045280638,2010-02-21
34,74,False,57820,B,2700.80381551988,2021-12-10
6,30,False,46870,C,25004.612402880357,2014-08-11
11,70,False,128199,A,15962.524575999516,2022-06-22
2,61,False,185588,B,20235.4095322308,2016-10-03
30,90,False,199643,A,27047.80140768118,2016-07-22
4,25,True,24455,A,21841.243048744458,2012-01-03
44,58,True,16287,B,20140.942366964766,2020-07-16
2,47,False,48216,A,26286.50706969254,2019-11-26
2,42,True,95649,C,23290.52846457212,2015-07-17
10,38,False,144670,C,32954.97977549128,2015-06-29
23,52,True,172196,B,13616.476804581695,2013-08-02
12,24,True,24376,C,15294.926369968698,2011-05-31
3,40,False,98628,B,2541.235123835424,2018-10-26
24,71,False,21650,A,34613.814189667784,2010-11-21
14,31,False,13857,B,2271.248502501604,2018-05-25
41,7,False,86555,C,41087.30352015073,2023-03-27
44,57,False,83764,A,17560.04316712767,2023-01-07
4,15,False,154105,B,24277.506617270556,2023-10-27
8,53,False,48119,A,22054.76284757852,2021-09-14
19,26,True,19039,A,38068.04896400248,2010-09-08
41,84,False,104496,B,29494.540799083,2018-02-13
21,31,False,14144,A,35087.99253914525,2019-03-24
15,44,True,34050,B,4588.945041561048,2010-06-12
20,79,False,48953,B,22306.275460035027,2018-07-01
32,93,False,148318,A,30847.996987569157,2018-08-28
27,50,True,157962,C,45071.62641766836,2015-03-21
3,98,True,194280,A,33667.47438995778,2011-02-11
4,5,True,174669,A,25993.429214050684,2011-10-28
18,42,False,164892,A,6915.048535185537,2018-12-13
35,23,False,101210,A,29144.802299150466,2022-09-21
6,88,False,104616,A,20073.177455241203,2012-04-02
34,84,True,56221,C,20154.97831998817,2023-06-14
24,24,True,48373,C,21119.98504535928,2013-07-21
28,83,False,83060,B,41168.07641176138,2023-04-05
12,65,False,40179,B,4814.405403340915,2018-05-26
1,22,False,198678,B,6249.442759203599,2016-02-28
24,48,False,129599,C,28246.514199199515,2020-01-24
28,81,True,126656,B,17465.034790769827,2019-05-19
21,14,False,162377,B,36775.880115760054,2021-02-06
15,7,False,16430,B,35085.69186562451,2023-03-23
10,98,True,138895,A,6541.050238883814,2017-06-01
19,83,False,40232,A,49851.50887744601,2014-11-29
40,50,False,86991,C,1024.3482545322297,2020-04-12
34,83,True,191347,A,43012.53488213569,2020-10-19
1,90,False,107816,B,35179.6380018504,2023-01-31
6,5,True,148576,B,2101.153382535025,2016-06-27
42,71,True,72130,C,39252.836333308456,2012-12-21
3,81,True,174932,A,2723.455917212951,2013-09-18
16,58,False,81347,C,31472.698623577893,2012-04-13
36,86,False,147144,B,28879.96891608973,2018-02-19
13,85,True,61323,B,15017.544005144053,2021-12-07
20,49,True,128563,A,38572.30849758234,2019-11-30
32,89,False,183707,C,42923.03864545129,2011-11-22
43,45,False,194306,A,18916.587927545075,2022-04-28
41,23,False,53405,A,39801.73854376458,2012-06-17
43,16,False,41796,A,39930.52971327893,2020-12-17
15,25,True,199241,C,42242.20290605231,2021-07-30
18,46,True,59468,B,27930.560386955647,2020-06-02
45,82,True,84595,B,17829.204280914568,2015-10-08
10,3,False,48493,B,32752.31713373433,2021-01-31
41,53,False,53552,B,44080.00534468549,2019-04-21
31,27,True,14133,A,15754.854564502717,2012-07-22
34,88,True,109918,A,22546.951506884303,2011-08-03
39,34,False,46260,A,24178.812558211906,2023-10-07
11,9,False,26619,A,2017.5580150887104,2020-08-07
16,66,False,98739,A,41139.55238027929,2010-11-19
1,28,True,144996,C,22700.771888708015,2022-06-24
25,31,False,184288,A,48150.72548755009,2022-08-06
12,70,True,23329,C,27577.67142176266,2018-12-02
14,94,False,29160,A,27433.613943137694,2022-04-06
9,77,True,178340,A,39378.388552981596,2020-08-11
36,28,True,103749,B,27996.940205384988,2020-01-12
2,59,False,187168,A,26099.255405065112,2016-04-23
14,1,True,175944,B,31670.259928513555,2021-04-03
10,70,False,139214,B,14556.744112969167,2015-12-15
26,8,True,181111,B,31191.729031562863,2022-12-16
12,2,True,102551,C,48136.276306777065,2015-07-14
20,76,False,183672,B,15828.612574573914,2020-11-02
19,13,True,20002,C,12207.788350693096,2016-07-31
13,75,False,173161,A,12874.093595019955,2011-01-06
34,34,False,34647,C,41119.84911771661,2014-07-24
28,29,True,47724,C,30625.19713854256,2016-02-17
20,38,True,57318,B,27388.270314853457,2012-02-08
27,65,False,189005,C,14765.930028158604,2014-03-11
21,63,False,145583,B,31318.51536839884,2022-11-21
34,50,False,11921,A,1971.6093476384056,2013-09-03
7,63,False,186102,C,40962.519982871054,2015-03-12
42,50,True,65945,A,15575.991175438197,2021-05-03
27,6,True,70847,C,22451.61938606737,2020-12-08
16,81,True,173292,B,25397.451987927358,2011-03-28
11,99,True,30042,A,9959.160529772456,2019-10-08
41,40,True,58448,B,49290.560095508234,2013-03-09
22,10,False,30020,C,9550.076359375624,2017-04-06
24,65,True,58262,B,22085.07152479961,2018-07-15
42,87,False,27279,B,41473.204009060944,2023-09-05
36,28,False,151424,C,38225.078565384036,2011-08-26
24,80,True,87620,A,15265.15512217089,2017-10-14
42,94,True,169930,C,29768.057150530065,2019-09-03
39,67,False,109953,A,8489.734929730519,2022-01-26
7,39,False,183510,C,17454.035939275167,2019-06-28
25,13,True,78009,A,15150.6564106694,2017-10-01
9,96,False,97114,C,31374.668138034962,2016-01-17
2,86,True,19243,B,7622.9613873737235,2011-07-25
20,34,False,85014,B,18986.740507102662,2019-02-14
30,46,True,47857,A,21951.07569653433,2019-01-16
38,30,False,148200,A,5280.11255242438,2019-02-08
16,99,False,44302,C,29528.937368801737,2011-05-04
15,50,True,78949,A,1339.839327883704,2019-01-19
40,53,False,147080,B,19303.215768639955,2018-07-14
15,52,False,140983,B,41647.96179670386,2016-12-29
4,13,True,178332,B,47380.678201615,2018-12-04
3,40,False,103954,A,19367.930378771507,2018-02-03
1,34,False,58676,A,11763.132616536263,2022-04-16
27,64,True,113363,C,35535.02917710514,2016-09-06
31,45,True,167306,A,33463.30214187733,2012-06-29
19,77,True,33169,A,46911.46813924709,2016-08-28
8,2,True,60030,A,34636.50858211839,2012-10-01
31,62,False,10953,B,13155.073192205484,2012-12-31
31,6,False,67876,C,29935.357513384733,2011-08-10
45,77,False,198371,C,46132.673665457696,2014-05-10
21,6,True,144980,C,8880.535343409385,2022-11-23
3,86,False,62206,B,35811.30084971178,2016-11-23
20,79,True,41684,C,3985.0162453655284,2021-09-09
4,12,True,136796,B,38546.58270182465,2013-01-24
16,38,True,160383,A,22490.840830351583,2019-11-20
30,48,True,57339,C,11914.563784934388,2017-08-21
31,18,True,168791,C,34611.045710591854,2012-10-25
7,77,False,82924,C,7446.988737993039,2020-01-08
12,41,True,116968,B,17534.15127283969,2012-12-30
22,52,True,194689,B,27141.839714717622,2013-03-13
39,86,False,51302,B,47755.336735263365,2010-10-07
16,74,False,14381,B,25796.63572272709,2012-09-16
35,18,True,171549,A,46318.63117513247,2010-08-07
6,3,True,164906,B,28815.573633087108,2014-03-26
17,31,False,126211,A,13757.340698853388,2014-04-15
27,47,False,194164,A,23046.251401235753,2018-07-19
22,97,True,23106,C,32416.905082787867,2021-07-15
30,99,True,127946,C,2354.528775317931,2012-01-13
19,21,False,29489,B,26669.37653563311,2011-06-08
11,33,False,172170,B,33156.27266986262,2011-11-02
11,42,True,158593,B,4382.560227683974,2021-11-29
36,67,True,49310,C,33071.2812618435,2012-04-18
15,84,True,69327,C,40755.4928884699,2010-09-27
13,80,False,114935,B,32908.74569821684,2016-01-18
8,20,False,89033,A,23101.68599016325,2016-03-29
21,93,True,143399,A,37006.241864072006,2022-08-22
34,92,True,105800,A,39280.92201052403,2019-07-07
20,99,False,98659,C,13731.627865444778,2014-08-19
2,74,True,180492,C,16770.898443551938,2019-11-04
29,83,False,55204,A,29815.082063354843,2022-10-26
42,90,False,97742,C,21886.366817711176,2023-11-25
24,23,False,103086,B,37936.792542079194,2023-01-04
2,21,False,157621,C,38220.2047434697,2022-12-17
10,98,False,50627,C,17985.28256138117,2016-10-05
13,52,True,21166,A,1969.9700932403662,2016-04-11
7,14,True,170534,B,29255.267323929344,2017-05-21
2,29,True,151948,A,33219.91072911405,2015-10-27
23,39,False,55007,A,17325.12896638431,2016-05-31
41,71,False,92436,A,30622.840985828327,2016-05-18
39,6,False,22164,B,30233.150582832477,2014-01-20
13,31,False,189995,B,18930.72888636595,2018-12-01
39,31,True,146768,A,2121.8590241831394,2014-04-24
28,20,True,114954,C,26037.138060756482,2013-11-03
9,32,True,194497,B,45719.202300191515,2016-07-01
36,11,False,28833,B,2897.2040345845267,2021-01-25
41,87,False,64026,B,33137.45945642271,2023-01-02
19,87,True,113620,C,29449.290196246762,2015-09-09
40,73,True,12450,C,49846.67036684374,2020-10-20
35,64,False,142817,B,35001.0882800793,2021-07-26
31,71,True,158977,B,13244.753553309318,2010-04-03
16,73,False,23976,B,35221.675297439106,2014-12-13
45,29,True,135428,B,25205.353298038364,2013-04-17
27,22,False,183042,C,41595.33103730855,2010-07-28
9,43,True,172623,B,45231.38873390094,2013-03-26
37,61,False,152138,B,38724.35677962538,2018-08-16
25,46,True,55950,C,29618.21318526441,2022-01-07
44,55,False,149261,A,17038.60064830725,2021-09-18
35,2,True,56321,B,13838.606976162015,2023-01-07
16,86,False,106079,C,5901.359000247309,2012-12-12
14,35,False,118533,B,4284.372618160433,2010-09-15
36,95,False,135557,A,14047.23106886274,2013-10-17
6,97,False,148853,B,33409.68730447182,2023-12-16
16,3,True,59822,C,31895.74386322304,2018-02-01
5,97,True,65559,A,44204.53911273718,2011-03-21
21,68,True,186073,B,39814.745675986036,2017-01-12
23,5,True,66686,B,46695.66724280335,2014-03-12
38,72,False,44652,A,1737.4004923509538,2020-01-11
17,77,False,142092,B,39640.869337638294,2010-01-30
43,16,False,162162,B,3622.5628076041485,2011-01-25
35,12,False,63947,A,5567.706716962418,2018-09-30
45,62,False,85817,B,46593.261514087615,2019-09-10
17,70,True,178455,C,16061.65103831171,2012-01-19
13,64,False,161836,A,15378.215780640907,2019-02-22
25,80,False,117385,C,3822.6947064093506,2016-10-02
1,45,False,48750,A,33324.86142057196,2021-04-18
5,26,False,32180,B,8579.734403051327,2011-12-25
23,67,True,128971,B,31839.869895654156,2023-01-26
34,75,False,120601,C,22433.313405048557,2015-01-02
12,90,True,134670,A,20389.51104256508,2015-05-26
29,71,False,35749,B,8899.33753281445,2018-08-07
6,8,True,28804,A,33220.09552402951,2012-03-04
40,28,False,158120,A,5099.987640581861,2018-07-09
24,32,False,86231,C,10580.892983448786,2018-09-12
9,24,False,198840,A,17290.49118322939,2020-12-18
27,56,False,34133,A,35785.74101012292,2021-07-16
23,64,False,21471,A,49796.554558771946,2013-09-17
18,10,True,125171,C,44815.41617195329,2015-12-03
32,22,True,161158,B,11729.562921217519,2019-04-06
26,85,True,133562,C,5700.9762471423255,2020-09-04
39,73,False,124603,C,28029.725910607118,2014-03-09
8,29,False,159743,A,4783.191050047018,2018-05-08
29,33,True,137752,C,18015.60693674838,2022-01-23
17,1,True,138735,A,44644.03452293159,2022-01-21
44,1,True,171958,B,13496.274972249792,2010-11-28
42,68,True,106987,A,6471.300828614473,2021-11-06
5,68,True,123803,B,33517.02197409335,2011-12-27
26,54,True,154636,A,18292.384533814642,2019-06-04
35,36,False,121766,A,31127.397694546686,2022-08-11
4,66,False,44281,A,40120.274201032575,2015-09-30
26,17,False,143499,B,10237.559987391485,2019-11-04
24,34,False,164971,A,20229.99287375657,2013-04-20
40,11,False,109159,C,8443.284788626584,2023-12-19
24,24,True,58930,A,9322.034450992574,2016-10-12
7,84,False,41350,B,25978.019478172788,2016-12-21
5,23,True,26223,B,24033.50507495514,2013-09-25
32,35,True,197609,A,13010.42172435883,2017-04-06
26,93,False,195864,A,25104.56389715723,2011-04-27
38,35,True,148451,A,22571.97052302031,2019-06-27
31,84,False,163309,C,29490.646162782552,2021-12-08
7,97,False,97078,A,10860.468353552717,2022-12-18
27,97,True,56675,A,30053.125683166112,2021-09-14
13,52,False,158963,A,46656.00683214841,2016-05-04
13,39,False,158134,C,11369.834971319659,2012-08-27
44,74,False,89146,A,32113.817785024956,2016-12-15
41,91,False,67040,A,30288.959612745253,2010-05-12
44,74,False,81902,A,18115.207674616096,2015-03-10
33,85,True,169515,B,46863.0060579274,2011-11-30
40,9,True,142438,A,1056.6121537083318,2017-11-24
18,49,True,143671,A,29339.353838984352,2015-10-30
23,63,True,29147,C,3310.6754451239435,2014-06-27
11,16,True,51198,C,32469.80028668667,2023-07-24
13,59,False,191916,A,37578.74005768235,2013-09-24
34,37,False,88752,A,28989.795018267578,2021-06-06
29,91,False,56275,C,9144.418818766559,2015-05-08
44,36,False,40968,C,37786.87093980607,2018-06-28
36,2,False,20651,B,49358.289768029965,2021-09-18
29,37,True,32902,A,43919.12016472484,2018-08-29
8,54,True,190244,C,9587.074107375818,2013-03-17
6,75,True,151812,B,23177.708933859496,2016-01-19
44,50,True,59413,A,13336.928018409228,2021-03-25
10,78,False,123756,A,45945.96003856434,2015-02-05
8,92,True,165516,B,30142.294112027783,2013-03-21
9,8,True,102316,B,45098.10565804129,2015-04-22
15,10,False,21018,B,7430.284738794369,2013-11-18
36,78,False,25984,A,10422.50493591146,2020-05-09
39,31,False,44688,C,36341.91033752486,2022-05-11
13,23,False,146568,A,32525.22772180941,2012-09-22
13,81,True,102422,C,14565.466950471338,2010-08-29
8,32,False,173062,B,13154.697219952779,2016-10-30
41,60,False,111096,C,34682.80656120827,2017-02-08
10,29,True,122339,C,39076.95920308485,2019-04-24
24,86,False,90969,C,15555.431709031987,2022-02-22
6,81,False,60343,B,22206.863757704054,2014-05-09
11,11,False,196667,B,13345.283547088211,2023-11-20
2,45,False,29823,C,26594.898337667502,2012-12-23
29,97,True,108178,C,25468.598518137616,2023-05-18
7,59,False,119541,C,41651.874197198646,2020-04-05
32,65,False,130508,A,8114.096539888697,2016-11-02
20,23,True,168203,A,47851.398246056815,2016-08-03
36,30,True,167472,B,33742.077275289615,2023-07-27
12,61,True,53697,A,31192.149656121448,2011-04-21
1,57,True,148533,A,1208.2026517451718,2016-06-01
7,3,True,13597,A,18115.42753926658,2012-03-18
17,89,False,179685,A,15960.49927482312,2016-04-22
10,31,True,88874,A,24850.203523752323,2023-02-17
29,89,False,16594,B,30928.33341844649,2014-03-26
8,93,True,79881,B,39657.38983732852,2019-03-01
19,93,True,92047,A,28534.36022579148,2014-03-24
1,80,True,12921,C,13068.190368437556,2016-04-26
1,64,False,176145,A,43476.67040028908,2018-05-13
19,40,False,104818,A,36604.83012219828,2023-12-24
13,57,False,100677,A,31637.303173958953,2014-07-29
17,85,True,109344,A,6937.195025520927,2020-11-30
32,23,False,67831,B,49100.45386353323,2020-09-29
5,78,True,152927,C,10288.746620680355,2022-09-23
38,14,True,33032,A,16132.87624011789,2012-06-25
26,40,True,33184,C,13760.8972828056,2021-10-23
20,97,True,130855,B,48599.38586669086,2021-11-14
24,64,False,81803,B,40393.6579621868,2014-04-08
23,75,False,186724,B,18606.179068832673,2018-06-09
35,31,True,174475,C,40698.147843390514,2021-03-03
43,8,True,97690,B,26486.84978177606,2023-07-08
11,98,False,135636,A,24363.799887124045,2020-08-15
29,64,False,63419,B,15171.29067744584,2011-02-22
6,22,False,151498,A,24560.89774070396,2015-04-23
15,40,False,156499,C,10707.959573633292,2012-02-18
21,14,True,97525,B,40991.08353556246,2017-12-29
9,64,False,93255,C,47339.77023702338,2010-01-29
16,4,False,108261,A,41472.77852185368,2018-12-08
21,7,False,29045,C,43980.06969598906,2017-05-06
2,71,False,28258,B,42318.85759110747,2020-06-25
42,17,False,186145,B,6618.970385011754,2018-05-25
24,52,True,63319,B,39191.30543341024,2018-02-06
23,53,True,72262,C,42852.912212105584,2022-01-17
4,30,False,121816,A,13543.48802253088,2022-06-10
15,84,True,123734,A,46457.629749026586,2022-04-19
37,90,True,26615,B,14833.474931419545,2010-04-02
26,21,False,103601,C,44714.20133071948,2017-03-13
32,8,True,26957,B,36279.00026496802,2012-07-23
8,2,True,193696,A,15271.55887801463,2019-08-24
4,71,True,148091,B,17733.748266544375,2019-10-01
19,53,True,96948,B,1626.8869400533263,2021-04-06
27,18,True,39554,C,32475.8206477598,2019-03-24
17,76,True,69828,C,12669.889789425113,2020-06-28
23,57,False,89316,C,24154.564189939338,2023-11-13
1,43,True,28464,C,47788.523267394274,2021-08-10
12,40,True,47224,B,49988.33104751742,2015-04-23
17,73,True,87832,C,30452.762730000686,2011-09-20
1,64,True,84840,C,28598.293914637492,2017-10-25
45,78,False,44776,C,22649.617886833857,2018-10-21
20,61,True,98623,C,4817.939032246141,2012-08-27
37,32,True,107815,A,9135.77888422733,2019-11-17
43,58,True,141895,A,16378.221277524588,2020-06-17
11,39,True,112916,B,43928.129649138325,2011-09-05
25,53,True,199947,C,26519.687730654736,2011-10-11
23,32,False,33712,A,14861.06589207991,2010-05-30
26,84,False,150280,A,26740.408859007654,2022-06-23
17,59,False,34024,B,19046.75518009578,2017-11-25
3,81,False,71655,C,25641.767819438377,2021-03-12
19,87,True,186461,A,42370.59261384007,2020-12-08
10,15,True,52237,C,21159.71923508522,2015-06-24
4,2,True,135251,C,45037.157122808174,2022-08-02
18,74,True,128699,A,46405.062730476486,2022-10-28
11,19,False,70339,A,41856.685798746716,2023-08-07
3,30,True,90710,B,20525.754535337357,2017-04-08
14,55,True,152769,C,8240.846943722834,2010-04-23
25,45,True,124345,A,36850.50883574269,2016-02-08
40,59,True,158467,C,36292.92303241988,2022-10-05
23,3,False,168049,A,9546.878752519684,2012-10-19
2,25,False,41486,C,40250.58317856941,2015-10-10
44,20,True,37156,A,14224.888492434393,2017-08-31
36,55,False,36744,A,34017.76965619069,2018-03-28
21,23,True,122527,B,36933.874571343,2012-02-16
6,2,True,192156,A,26518.487866562016,2023-01-04
19,66,True,71998,C,20754.82149299752,2013-09-19
35,51,False,76626,B,25926.609715698392,2016-06-24
40,4,True,130168,B,12765.646397550598,2019-12-03
16,27,True,46762,B,16706.44676934048,2023-07-07
27,28,False,168240,C,23095.394373175768,2017-06-07
28,31,True,43105,A,47621.23395450069,2021-12-14
35,58,True,108978,A,28315.233457584927,2021-12-20
43,18,False,124701,C,35967.108068763526,2013-05-31
42,86,False,144584,C,48406.34234659882,2011-08-10
23,85,True,174325,A,2058.495325332179,2013-09-26
18,43,False,22344,C,3784.623404048322,2023-08-24
29,95,False,131019,B,14803.856714406504,2012-08-14
5,39,False,118388,C,31238.590035906484,2021-03-21
18,54,True,38239,B,26533.549149203536,2018-01-08
33,44,True,126872,C,7942.677441788946,2014-07-19
40,97,True,192284,B,1727.174145226696,2019-02-16
37,91,False,187112,B,42661.60327698553,2015-07-16
29,4,True,161994,A,36236.27687812144,2023-11-23
45,7,False,136532,A,11729.43674005274,2022-11-09
33,77,False,46563,C,39919.383030761615,2018-08-20
10,91,False,75115,A,11932.378276043337,2010-09-23
22,99,True,35432,A,6661.204233025119,2020-04-06
10,63,False,63281,B,2087.7755754437694,2018-06-12
30,79,True,196805,C,39306.396901104235,2017-03-29
43,54,True,94661,B,36765.00680398185,2023-06-29
15,14,True,95148,A,39675.99104995837,2019-10-22
42,54,True,88471,B,14035.00120995378,2014-10-13
26,99,False,105674,C,7242.847317855136,2013-11-10
26,12,False,54898,C,13806.160881873468,2011-06-10
38,8,True,49654,C,29239.352411103857,2011-12-09
4,15,False,63619,B,23874.763794758823,2013-05-20
14,65,True,40404,B,27835.40490348169,2010-02-28
22,2,True,169408,C,16848.107336470443,2012-09-06
40,48,False,62430,C,49177.12216560669,2015-01-03
13,62,False,124471,C,18589.60728093347,2011-12-10
3,57,False,80151,A,38878.491799753676,2014-10-21
12,75,True,88671,B,1086.7090541517364,2023-03-25
23,88,False,162766,B,29995.349700257182,2010-01-17
41,63,True,53459,C,12872.190045212563,2014-07-07
18,94,True,52772,A,3652.3652513924767,2021-03-27
1,62,False,53272,C,34030.6441172783,2014-03-30
27,42,True,121466,A,18750.29562388866,2013-05-31
25,54,True,128923,B,30229.054718997177,2021-04-02
32,31,True,22118,B,48917.96624075032,2020-06-10
25,99,True,48185,A,45605.5917697122,2019-02-18
19,78,False,53469,B,27132.59362751782,2013-09-04
32,80,True,175487,A,10213.07958216634,2021-09-15
14,61,True,107854,A,31541.312585663407,2010-10-29
18,59,False,153062,C,22615.47351090678,2011-07-13
10,58,True,14879,B,11187.582874052256,2010-04-07
9,55,True,66864,A,33787.632364348305,2016-11-10
